date,gold_price_vnd
2016-04-05,"₫27,098,560"
2016-04-06,"₫27,452,560"
2016-04-07,"₫27,421,210"
2016-04-08,"₫27,662,550"
2016-04-09,"₫27,654,100"
2016-04-10,"₫27,654,100"
2016-04-11,"₫27,654,100"
2016-04-12,"₫28,042,660"
2016-04-13,"₫28,001,430"
2016-04-14,"₫27,734,680"
2016-04-15,"₫27,395,580"
2016-04-16,"₫27,524,860"
2016-04-17,"₫27,524,860"
2016-04-18,"₫27,524,860"
2016-04-19,"₫27,469,100"
2016-04-20,"₫27,881,150"
2016-04-21,"₫27,739,800"
2016-04-22,"₫27,835,620"
2016-04-23,"₫27,454,420"
2016-04-24,"₫27,454,420"
2016-04-25,"₫27,454,420"
2016-04-26,"₫27,518,940"
2016-04-27,"₫27,678,610"
2016-04-28,"₫27,761,870"
2016-04-29,"₫28,242,780"
2016-04-30,"₫28,835,130"
2016-05-01,"₫28,835,130"
2016-05-02,"₫28,835,130"
2016-05-03,"₫28,787,220"
2016-05-04,"₫28,664,970"
2016-05-05,"₫28,518,780"
2016-05-06,"₫28,486,460"
2016-05-07,"₫28,714,360"
2016-05-08,"₫28,714,360"
2016-05-09,"₫28,714,360"
2016-05-10,"₫28,233,120"
2016-05-11,"₫28,233,120"
2016-05-12,"₫28,233,120"
2016-05-13,"₫28,475,470"
2016-05-14,"₫28,423,570"
2016-05-15,"₫28,423,570"
2016-05-16,"₫28,423,570"
2016-05-17,"₫28,382,670"
2016-05-18,"₫28,547,700"
2016-05-19,"₫28,037,460"
2016-05-20,"₫27,992,910"
2016-05-21,"₫27,948,210"
2016-05-22,"₫27,948,210"
2016-05-23,"₫27,948,210"
2016-05-24,"₫27,876,480"
2016-05-25,"₫27,413,140"
2016-05-26,"₫27,363,480"
2016-05-27,"₫27,294,770"
2016-05-28,"₫27,137,160"
2016-05-29,"₫27,137,160"
2016-05-30,"₫27,137,160"
2016-05-31,"₫27,024,880"
2016-06-01,"₫27,207,210"
2016-06-02,"₫27,220,300"
2016-06-03,"₫27,161,640"
2016-06-04,"₫27,892,360"
2016-06-05,"₫27,892,360"
2016-06-06,"₫27,892,360"
2016-06-07,"₫27,857,120"
2016-06-08,"₫27,803,420"
2016-06-09,"₫28,248,940"
2016-06-10,"₫28,359,180"
